All calculations,Terminal
16.343333,0.996804
16.353333,0.996806
16.363333,0.996808
16.373333,0.99681
16.383333,0.996812
16.393333,0.996814
16.403333,0.996816
16.413333,0.996818
16.423333,0.99682
16.433333,0.996822
16.443333,0.996824
16.453333,0.996826
16.463333,0.996828
16.473333,0.99683
16.483333,0.996832
16.493333,0.996833
16.503333,0.996835
16.513333,0.996837
16.523333,0.996839
16.533333,0.99684
16.543333,0.996842
16.553333,0.996843
16.563333,0.996845
16.573333,0.996847
16.583333,0.996848
16.593333,0.99685
16.603333,0.996851
16.613333,0.996852
16.623333,0.996854
16.633333,0.996855
16.643333,0.996857
16.653333,0.996858
16.663333,0.996859
16.673333,0.99686
16.683333,0.996862
16.693333,0.996863
16.703333,0.996864
16.713333,0.996865
16.723333,0.996866
16.733333,0.996868
16.743333,0.996869
16.753333,0.99687
16.763333,0.996871
16.773333,0.996872
16.783333,0.996873
16.793333,0.996874
16.803333,0.996875
16.813333,0.996875
16.823333,0.996876
16.833333,0.996877
16.843333,0.996878
16.853333,0.996879
16.863333,0.99688
16.873333,0.99688
16.883333,0.996881
16.893333,0.996882
16.903333,0.996882
16.913333,0.996883
16.923333,0.996884
16.933333,0.996884
16.943333,0.996885
16.953333,0.996885
16.963333,0.996886
16.973333,0.996887
16.983333,0.996887
16.993333,0.996887
17.003333,0.996888
17.013333,0.996888
17.023333,0.996889
17.033333,0.996889
17.043333,0.996889
17.053333,0.99689
17.063333,0.99689
17.073333,0.99689
17.083333,0.996891
17.093333,0.996891
17.103333,0.996891
17.113333,0.996891
17.123333,0.996891
17.133333,0.996891
17.143333,0.996892
17.153333,0.996892
17.163333,0.996892
17.173333,0.996892
17.183333,0.996892
17.193333,0.996892
17.203333,0.996892
17.213333,0.996892
17.223333,0.996892
17.233333,0.996892
17.243333,0.996892
17.253333,0.996892
17.263333,0.996891
17.273333,0.996891
17.283333,0.996891
17.293333,0.996891
17.303333,0.996891
17.313333,0.99689
17.323333,0.99689
17.333333,0.99689
17.343333,0.99689
17.353333,0.996889
17.363333,0.996889
17.373333,0.996889
17.383333,0.996888
17.393333,0.996888
17.403333,0.996888
17.413333,0.996887
17.423333,0.996887
17.433333,0.996886
17.443333,0.996886
17.453333,0.996885
17.463333,0.996885
17.473333,0.996884
17.483333,0.996884
17.493333,0.996883
17.503333,0.996883
17.513333,0.996882
17.523333,0.996881
17.533333,0.996881
